Artist,Total Streams
"Aleman, Yoga Fire, Cozy Cuz, Fntxy, Dee",720431
"Alessia Cara, Sebastian Kole",254577
"Alesso, Anitta",2393449
"Alesso, Tove Lo",8456
"Alex Ceesay, Ant Wan, Gee Dixon, Salle, Black Ghost",92372
"Alex Ceesay, Salle",23452
"Alex Fong, Stephy Tang",81067
"Alex Gaudino, Crystal Waters",166450
"Alex Lustig, Akacia",3071
"Alex Mattson, Damon Sharpe",292162
"Alex Mattson, RØRY",248788
"Alex R., Lenny T.",400601
"Alex Rose, Almighty",328478
"Alex Rose, Casper Magico, Ñengo Flow, Bryant Myers, Noriel, Juhn Allstar, Miky Woodz, Jhay Cortez, Myke Towers",13301755
"Alex Rose, Cazzu, Lenny Tavárez, Lyanno, Rauw Alejandro",1249950
"Alex Rose, Cazzu, Rauw Alejandro, Lenny Tavárez",209879232
"Alex Rose, Dalex",172439
"Alex Rose, Jory Boy",17460
"Alex Rose, Lenny Tavárez, Cazzu, Rauw Alejandro, Lyanno",1237983
"Alex Rose, Lenny Tavárez, Chris Wandell, Quimico Ultra Mega",1176982
"Alex Rose, Lyanno",1054853
"Alex Rose, Myke Towers",1243707
"Alex Rose, Myke Towers, Miky Woodz, Jory Boy, J Alvarez",1941798
"Alex Rose, Rafa Pabön",138859091
"Alex Rose, Rauw Alejandro",190717
"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",1133886
"Alex Rose, Rauw Alejandro, Miky Woodz, Jd Pantoja, Juhn",1806592
"Alex Rose, Raw Alejandro, Miky Woodz, Jd Pantoja, Juhn",348476
"Alex Sensation, Anitta, Luis Fonsi",707311
"Alex Sensation, Bad Bunny",2215905
"Alex Sensation, Gente De Zona",380350
"Alex Sensation, Myke Towers, Jhay Cortez, Arcangel, De La Ghetto, Darell",1712750
"Alex Sensation, Nicky Jam",5948915
"Alex Sensation, Ozuna",81496634
"Alex Skrindo, KLARA",13969
"Alex Velea, Jador",148162
"Alexander Oscar, SVEA",8882518
"Alexandra Stan, Mohombi, Marc Mysterio",2720
"Alexis y Fido, Fonseca, Kevin Roldan",296296
"Alexis y Fido, Franco ""El Gorilla""",30571
"Alexis y Fido, Nacho",5218486
"Alextbh, Sam Rui",4630
"Aleyna Tilki, Emrah Karaduman",18462743
"Aleyna Tilki, Tolga Kahraman",49808
"Alfa, Yanomi",76542656
"Alfonso La Cruz, Sabela",120700
"Alfred García, Amaia",374918
"Alfred García, Carlos Sadness",140864
"Alfred García, Pavvla",263765
"Alfred García, Santi Balmes",100726
"Alfred Sim, Tay Kewei",14588
"Alfredo Gutierrez, Los Corraleros De Majagual",34089
"Ali As, Falco",51432
"Ali As, Juju",516084
"Ali B, Cheb Rayan, R3HAB",1201943
"Ali B, Lexxxus, Stiekz",141545
"Ali B, Lijpe, Ismo",168631
"Ali B, Mula B, Dopebwoy",71072
"Ali B, Numidia",13933582
"Ali B, RedOne",2819466
"Ali Majid, Ali Jassim",40364
"Ali Samara, Ahmed Ezzat",461175
"Ali, SomeArabGuy",24513
"Alida, Robin Schulz",68435012
"Aliento, Julio Melgar, Yvonne Muñoz",13088
"Alif Satar, Raihan",1350120
"Alif Satar, Siti Nordiana",369846
"Aliff Aziz, Mira Filzah",3511
"Alina Eremia, Nane",14418
"Alisia, Boris Soltariyski",2114
"Alisson Shore, Kiyo",12380720
"Aliyah, Architrackz",1435068
"Aliyah, Architrackz, Henkie T",208222
"Aliyah, Bryan Mg",314234
"Aliyah, SBMG",1744130
"Alka Yagnik, Arijit Singh",5073416
"Alkilados, Bonny Lovy",3364527
"Alkilados, Espinoza Paz",5650
"Alkilados, Maluma",1880621
"Alkilados, Nicky Jam, J Alvarez, El Roockie",173192
"All Saints, Unknown",50116
"Allame, 9 Canlı, Eypio, Yener Çevik",35168
"Allame, Ados",139815
"Allame, Defkhan",42806
"Allame, Kezzo",13871
"Allame, Neşet Ertaş",18140
"Allame, Tahribad-ı İsyan",15183
"Allan Johanson, Gardemusikken",46649
"Allan Johanson, THE STAFF BAND OF THE NORWEGIAN ARMED FORCES",10908
"Alle Farben, ILIRA",31827538
